name,address,type,gauges,bribe_ca
vAMM-WBNB/BIFI,0xbaD27C20d0A2428251585f1FD509685e48f307bD,vAMM,0x003d5f35250c9AbbCD9E1908312d9D59f47Ae532,0x7ffbF8f38E4d11d2A4f9994Cd554602d25F19a98
vAMM-NGL/USDT,0xD949476184B9c94Ed2130E8175D4139654CE2339,vAMM,0x14f3718610E49ef7cf95E68742fC7ff791FFfEf1,0xfA256C14bD2053C67e313eDf6c215C872a911417
vAMM-XCAD/THE,0x3A569CeF2c6445d198F90d3D87DbFa3C7977cEb2,vAMM,0xC393369CAcB83cb01A046e13451C3dD97E824bB4,0x25B6AfbF2B01f9CbBF663bca8742284FD59DBfD9
vAMM-ETH/LIBERA,0x5Fe44aCa2DB7CDbe31bc3749a18753eC94Ca699c,vAMM,0x5411fF94d355d403631333ed8EF9F926ed124CA5,0xAaB83c017D04a326E297c49da6EF4E134E7e1f7a
vAMM-XCAD/USDC,0x6190E79064213E6A2997355153f57904FB4910C3,vAMM,0xcD39794A39Ca45807A920A8646AE5316b13496AC,0xa6Ee7747a5b4e2BC917Be6E52a757345b545f6ED
vAMM-XCAD/USDT,0x46C69a989DC56747F007acfA4d6BC7c9FA8137bF,vAMM,0x4C3aFe7814f93FDda87d7904F1CF046157C37932,0x1f4a3fcFa368eCCC27883c353E2D10c40e95e81D
vAMM-fBOMB/WBNB,0xCcDEdaC1973b6d2542fB1b7EcE843b81A9ee7070,vAMM,0xD183775F3C45482bF528a71764Ab468d4c79BC9C,0xD2A5311f98D2a0FDbD756fDe48A0dea26Af5C2Ed
sAMM-HAY/USD+,0x1F3cA66c98d682fA1BeC31264692daD4f17340BC,sAMM,0x223E9f8654126926D8C1797E26EF15B13630f2ea,0x8FbF01a6D3Fef2847f2c35d9a05476eb859D6B2e
vAMM-PRIMAL/BUSD,0x721f0607e3B3ad025c3f996EF412A62AE461b15F,vAMM,0xf645D1Cd7ee4E88d5B9A1896D628393858a7f29e,0x013Bb64E4Ff66935cdE60A4A103579D6c0E37437
vAMM-ankrBNB/ankrETH,0x44d1F00E75fd074F6016bb1DC326DcCD5d04451B,vAMM,0xCC7226622FDC0dc70d641419759B5E42f1dbdf84,0xb4F8D476C88e574DAb2D04f753bfde9d44a74BF4
vAMM-USDT/FITFI,0xD523AC2609c3A56f945242CC239e9F47c018bf6b,vAMM,0xCd62Ef8B3324d8506e8592234ca7e41B95D2394F,0xF9cE6c368AFb7fCD011C7EE9C586113b98c13dE9
vAMM-USDT/FEAR,0x5980f099EE0584ff7F840a3672983bbF71E69a36,vAMM,0xA689d47cf0E50EB499DCBE12AD51E831a749Ca2f,0x45CE6313C4E65079146B9a475F9484593F65E0b9
sAMM-FRAX/BUSD,0x7fCfE6b06C1F6AAd14884bA24A7f315C1c0C2cEf,sAMM,0x19549316a62f1D333cA7656bA634ba3cAB843348,0x0F4150Bd732D06F5cf8dBdFAa9121B94b2aaEF7c
vAMM-FRAX/FXS,0x3c9BD1f914D6F0e0CD27a1F77e120c061D1FDbEd,vAMM,0x4328A8A77461A9aB925CDf1CCBD2300d6fbA27E2,0x970E2CDe8c2A116d3F346cE2fE60dC0f188D10c4
vAMM-ETH/ankrETH,0xa3b8e8391d7fd34Ffef885D5F4db3F15a127786E,vAMM,0xec39d28094CE1E1F7438a117836Bd2157196935E,0xc4438818AeBB5d04141299b0be1C9698184A2A91
sAMM-USDT/USD+,0xea9abc7AD420bDA7dD42FEa3C4ACd058902A5845,sAMM,0x31740dfF2D806690eDF3Ec72A2c301032a6265Bc,0xe52917158c3C8e29Ae3B5458200cbF516E56F660
sAMM-MAI/BUSD,0xe459556595A224D7F12b45E93138F4A1265AC618,sAMM,0x6FC3E598c8cC6D1E49b6233205b69aE07aB41C72,0x2496D9A84e9c36bB899405A47e381Af398F12b0e
vAMM-USD+/THE,0x7F74D8C2A0D0997695eA121A2155e2710a6D62dc,vAMM,0xE4F0E1E2A6ceAeF8b076d6321702EA0e38245813,0x39d46d0f49fab60002d2f359d1497FfBFC889ea6
vAMM-BETS/WBNB,0x21f60Af65Ba9A20c3320B6938aaa60237f6bEEA8,vAMM,0xaa9f64076103cdFBd376243F4dB55a7735EeE643,0xf1B916d57912ae1AaBba42a3fc7cC964b3Ea35bA
vAMM-XCAD/BTCB,0xd9F7096625B65Ac37c09d05c1c4548edfcCe9fBE,vAMM,0x028665750d4c184CE9F854224e29F8588e45397b,0x18aFAa3bd3f55F62cb104d2715C3923447Fff091
vAMM-ankrBNB/ankrMATIC,0x372E0Fae9Dcd0a0b3CF184072b5F2A17A2b53d92,vAMM,0x5a958bFa636D9840cD74643c9cc41c78A444c995,0x9206098F0A762DbcDd3fa88BF6Fd30EdD135B9b2
vAMM-USDT/PRIMAL,0xde72DD50Dd0ca9C8c48b04F74c5246B5545969D0,vAMM,0x168585B1D86AECA90A1134b8706f04300e2b2c61,0xAe18F2e7522697eF731cec7fc41661a02b1Dd389
sAMM-FRAX/CUSD,0x338cA7eD1D6BeDe03799a36a6f90E107d24Dc6aD,sAMM,0xfeF8FbC224cD5EE38C91852dbE71363853483017,0xdF6b30f954Bc8f1c798Fe5784aC8D6508Ae544de
vAMM-USDT/FLOKI,0x537672472Bec1246eE9419e1716e221c9d0c04f6,vAMM,0xFe5785Fe5eED88378c96bE340315AD1e7916B0E1,0x2A9D4bC97291F42816D23A58B2aA6cAaca20D034
vAMM-fBOMB/THE,0x18c12680ACA1A2660ADC88751b49bd156f435b3D,vAMM,0xd6B9B9AEA50a114827a0C60ED8a734c33047E164,0x5Fc30Fad1E96F846bf9148182BE893175E81e6E1
