name,address,type,algebra_pool,new_symbol,new_type,gauges,fee_ca,bribe_ca,new_name
vAMM-DAO/WBNB,0x948c553D8c25Ad7bD034086F0AaE9a9D3c028B90,vAMM,,DAO/BNB,Volatile,0x8Cf2f3F1E60F61D9f1bbEDDa53794560BA55da6A,0xF294239f84Ba2C1842B4F8Adb76a882cB8038ccE,0xe614897E322c538E26F0240400EdD503209e6046,DAO/BNB - Volatile
vAMM-HAY/THE,0x0f8Bbc44650BF30F53343c3D2BF5c10356B64bD5,vAMM,,lisUSD/THE,Volatile,0x7bE80587520Cec6dD71b898b63421EDaD94cb899,0xcE41C00b4aB8AB877d119e4048F2a19E2B5b5805,0xb3bb6BD388D6e343A25E14701a497875F03ae932,lisUSD/THE - Volatile
vAMM-WBNB/BIFI,0xbaD27C20d0A2428251585f1FD509685e48f307bD,vAMM,,BNB/BIFI,Volatile,0x739Eba3d4Af5205A42Ca25D990b0918E3d8fF8BC,0x0352DBe942ca0FD44D3f0Df9d90B5A077F89CF68,0x5BD7CB4e8c7A543ec5219355D53884b550210E7C,BNB/BIFI - Volatile
vAMM-USDT/THE,0xA051eF9A6FBea340Bb734d022e7B6a3aD9fD9B06,vAMM,,USDT/THE,Volatile,0xf1FA952C2E3b2faB77F0e243544C035F14AdA63E,0x8683A66b1BE4B49014f10150433BFf01d41593F0,0xbdA90f2F8be3a70606db1fB82616D8c2Cc21a4C0,USDT/THE - Volatile
vAMM-USD+/THE,0x7F74D8C2A0D0997695eA121A2155e2710a6D62dc,vAMM,,USD+/THE,Volatile,0x6A2ea09AcD90e5e1f751B73a7c3B2C3a94976dB6,0x3Fc65d2c65448FFDDC641e92105E1C38e0A6d039,0x094028f6f57c1596132EC5F33d32f45494b15d77,USD+/THE - Volatile
vAMM-BNBx/WBNB,0x6c83E45fE3Be4A9c12BB28cB5BA4cD210455fb55,vAMM,,BNBx/BNB,Volatile,0x59e0Dcb1F5EbaC448C8f30d026DDDfd8C3f65380,0xA7EE2C15A3f552221E596ec91d6E2C157296F58D,0xE32b26ae83645a35312A077F864F043BAF3A2a55,BNBx/BNB - Volatile
vAMM-AVAX/WBNB,0x7B2F91d226aD214Ac42ba21a597d99896311eCD1,vAMM,,AVAX/BNB,Volatile,0xe1fcF3a5924192D461e741178d786D249Eb018F6,0x181C6Bc16c5e92F1e2855a5e4133335bDbcA71a4,0x8d1139Dd2D0e4fbd1FF4bA9211CC2A211eA788dC,AVAX/BNB - Volatile
vAMM-FS/USDC,0xeD6A13A30760C3a3795C5F5d7b6F911a3de0edD9,vAMM,,FS/USDC,Volatile,0xbC7E044097C5b9DdaC048eC34D510745EDB0EE68,0x6B4b111515f32edBE3fb824C87165C8F92cb446B,0xe0183c28D8f8cF447BbF013f54c8969640eE9640,FS/USDC - Volatile
aETH-USDT 3e64,0x01DD2d28eeB95D740acb5344b1e2C99b61CC3e64,CL,0xa60a504d92a1C95bda729C3F745B361cA822d6dd,ETH/USDT,Narrow,0x8A07590FfC632cB258Fe627B25D304CC7Cc3998B,0x41ce727b5D1d2E4e0f92Fa582d846230B4a01a77,0x581edcae3E1CcA97698a8a4aC6ef8943A4AB666f,ETH/USDT - Narrow
DEShare 638a,0xbeD76F58edD506a0080b413ca45b2DA29B8e638a,CL,0xaB3790c5FaB8AFf0A41640Eb2c7b280289c657E5,USDV/BNB,DefiEdge,0x02Efa2775445980F6441d7dF6b42940f00FF96fb,0xC1dD416cA55242ded42524fAFB711248140C8020,0x58cac02b8de21f6DE47913CaF471Ba0d251da0C6,USDV/BNB - DefiEdge
vAMM-USDT/FITFI,0xD523AC2609c3A56f945242CC239e9F47c018bf6b,vAMM,,USDT/FITFI,Volatile,0xdcf549dC28cCf49578e2C9Db8eE0Dd10e93031e8,0x6612355C052E424d4532B62c87643C6a1377817d,0x1C237354ec719897Bbc28c96F2D4D7520902dCdf,USDT/FITFI - Volatile
vAMM-ETH/THE,0xdAaC487bB3a411cB9251794bb7c7B04cb6d1aB26,vAMM,,ETH/THE,Volatile,0xDf7211C6d4fF85Cc7228f91861Be622852740024,0x0b8217768742A5baB6A03c7994Ac73003E8ddc2f,0xb642A89952bE3D3Fd79D6B379a178a052DE88CfB,ETH/THE - Volatile
aHAY-FRXETH 0A4F,0x69E8c26050dAECF8e3b3334e3F612B70f8D40A4F,CL,0xf8A4cDf9eFc4B9b38eaa6e27eE281cB2111fa664,lisUSD/frxETH,Narrow,0x3C2bff1BcDD838646182cFcC081e05E85A713FdB,0x21CCD95f132eB211f255E3DeE06E1E82B0B981de,0xE7Ba8bF0b8b73BC3A67512d83720b9c788439642,lisUSD/frxETH - Narrow
vAMM-BTCB/BUSD,0xD5B7877cD8056f38bB37FaDb63FE698E406F3870,vAMM,,BTCB/BUSD,Volatile,0xc0d225dD49Aee2812ceA9e7171bbc076F20BbBFf,0x9A4E27C58cD3a3a399b5b90c558744EB6De54Dff,0xF655A87e1d01a1CDd76eB10BFbfeE24bbCf9082A,BTCB/BUSD - Volatile
vAMM-BUSD/SLM,0xAfD1A0319909d66046EF5c1237470C2ce02EdF2A,vAMM,,BUSD/SLM,Volatile,0x48d949Bdd739080A7F70784f87163e8674d41A5E,0x600D955A0b790385EC9951AC59523a29d3db8cCC,0x13aFffE9Ea4D39a0145e24b463aa21a7c89b595d,BUSD/SLM - Volatile
aMULTI-WBNB D6f4,0x96aA798ca64AD5bDF64F086DBd1453982dCcD6f4,CL,0x972E8BE53425DbcaF3446c7aC130ADB48ba3E125,MULTI/BNB,Narrow,0x7Dc9BD33663CF207fa5f9f014Cab5290147BD571,0x3DD16B87582d93bBB188bAfabF5289722741F83c,0x3d99271a8B7c9e844C0191bb9096BBC1F242A61f,MULTI/BNB - Narrow
sAMM-DOLA/CUSD,0x7061F52ed4942021924745D454d722E52e057e03,sAMM,,DOLA/CUSD,Stable,0xacf4bd5D90215C6cA9d5B1d884E75fc5574F7572,0xb6c7F94dEd0f96b08A69560Fe07F24060A8AD105,0x439585f06ED5878ED1ab839D38cD13dcc5C45608,DOLA/CUSD - Stable
vAMM-OATH/BUSD,0xc2dc97A4afE061186Ad5Ca5231f964a97Ce305eb,vAMM,,OATH(old)/BUSD,Volatile,0x2DfdeDDAfB4A2d756FD56C3756Ce2E6554119700,0x67E0d02139B9b080D3B3b0ce71a101373d9A97c5,0xa9C5bb1Dce8c6D812956C5d44b1E4Cc2752f2D7E,OATH(old)/BUSD - Volatile
vAMM-USDT/dXCAD,0xDA5edbE3f254046cD8CABeC6758E0B1122B52D6e,vAMM,,USDT/dXCAD,Volatile,0xaD188908889d47Ea01Cc801d0Efc39ebBBb1dD04,0xd9a2251816da875BFD8691A2101728f769Ff8bf8,0x7A3385E8eEde0570754bC7259f8E0f534a2611cA,USDT/dXCAD - Volatile
vAMM-DOLA/WBNB,0xc5856601712E8a74d57cdc7a47fB1B41C1a6Fae2,vAMM,,DOLA/BNB,Volatile,0x4dE020E928C7A505Af973511B8FD4C4A57d745b0,0xa077d5b77ECe94C3e68e5343021bDb4C9CdAee41,0xa303bB70961f5Ec2525FF4EE2CAfB7A138BFc0db,DOLA/BNB - Volatile
sAMM-USDC/DEI,0xC092c8ef0909E422A9B7733734d971215F52fC2D,sAMM,,USDC/DEI,Stable,0x3034ED86468eA18519be43b775e5F52Df8cb9E04,0x3493bec02dAc827A09E868dce12D47eA10678ad1,0x6080182042Ce6c47cC41a4dd81CA7Ab69Ce2EBe5,USDC/DEI - Stable
aHAY-FRXETH 275E,0xa4d37759a64dF0e2b246945e81B50aF7628a275E,CL,0xf8A4cDf9eFc4B9b38eaa6e27eE281cB2111fa664,lisUSD/frxETH,Wide,0xfcE6eFCdf42F6b4e5B48884889934c006B3D8bAe,0x499885D2ef52EB85102208b3E0E49e9669dD95d8,0x217977eb85c0925f590cDADaffAd21ad8f85C509,lisUSD/frxETH - Wide
vAMM-WBNB/OATH,0xAF6389e0281337cf810b5843EBaE12dbF5A0eAf4,vAMM,,BNB/OATH(old),Volatile,0x6e7Fd7e78b672720F2c01B47d1d8269cD9844057,0x8c9a78c764f235c9bC460b3B7643BECc35b88ebc,0x7EA05b499239b27ba6933395B0A9967Df1BB3B91,BNB/OATH(old) - Volatile
